Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1990","1990","ha","2908960","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1991","1991","ha","2763440","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1992","1992","ha","2500320","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1993","1993","ha","2259330","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1994","1994","ha","2097650","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1995","1995","ha","1869980","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1996","1996","ha","1920250","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1997","1997","ha","1988190","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1998","1998","ha","2070410","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","1999","1999","ha","2222925","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2000","2000","ha","2267968","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2001","2001","ha","2336031","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2002","2002","ha","2370891","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2003","2003","ha","2395501","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2004","2004","ha","2368040","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2005","2005","ha","2325920","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2006","2006","ha","2312157","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2007","2007","ha","2264129","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2008","2008","ha","2222224","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2009","2009","ha","2135508","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2010","2010","ha","2159785","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2011","2011","ha","2148775","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2012","2012","ha","2120080","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2013","2013","ha","2085522","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2014","2014","ha","1997827","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2015","2015","ha","1977714","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2016","2016","ha","1996604","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2017","2017","ha","1802417","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2018","2018","ha","1863966","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2019","2019","ha","1825283","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","656","Coffee, green","2020","2020","ha","1898239","","Official data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","1990","1990","hg/ha","5036","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","656","Coffee, green","1991","1991","hg/ha","5502","Fc","Calculated data"
