"Category","Annual Mean","5-yr smooth"
"1901",24.91,24.94
"1902",25.04,24.91
"1903",24.87,24.88
"1904",24.66,24.85
"1905",24.84,24.82
"1906",24.83,24.8
"1907",24.76,24.78
"1908",24.86,24.77
"1909",24.81,24.76
"1910",24.78,24.75
"1911",24.65,24.74
"1912",24.7,24.72
"1913",24.62,24.71
"1914",24.75,24.69
"1915",24.9,24.66
"1916",24.57,24.63
"1917",24.2,24.6
"1918",24.57,24.57
"1919",24.92,24.54
"1920",24.59,24.51
"1921",24.42,24.49
"1922",24.43,24.48
"1923",24.46,24.48
"1924",24.35,24.48
"1925",24.46,24.49
"1926",24.71,24.51
"1927",24.42,24.52
"1928",24.56,24.54
"1929",24.43,24.55
"1930",24.68,24.56
"1931",24.6,24.57
"1932",24.73,24.58
"1933",24.45,24.58
"1934",24.44,24.59
"1935",24.57,24.6
"1936",24.75,24.62
"1937",24.7,24.65
"1938",24.58,24.68
"1939",24.68,24.73
"1940",24.86,24.77
"1941",24.96,24.81
"1942",24.78,24.83
"1943",24.64,24.84
"1944",24.89,24.82
"1945",24.78,24.78
"1946",24.78,24.73
"1947",24.64,24.68
"1948",24.74,24.64
"1949",24.51,24.6
"1950",24.51,24.58
"1951",24.52,24.57
"1952",24.68,24.58
"1953",24.78,24.6
"1954",24.78,24.63
"1955",24.56,24.67
"1956",24.31,24.71
"1957",24.64,24.75
"1958",25.08,24.78
"1959",24.93,24.79
"1960",24.66,24.79
"1961",24.88,24.77
"1962",24.6,24.75
"1963",24.98,24.74
"1964",24.54,24.73
"1965",24.77,24.74
"1966",24.82,24.75
"1967",24.75,24.76
"1968",24.36,24.76
"1969",25.02,24.75
"1970",24.86,24.72
"1971",24.42,24.69
"1972",24.82,24.65
"1973",24.98,24.62
"1974",24.37,24.61
"1975",24.48,24.61
"1976",24.43,24.62
"1977",24.88,24.66
"1978",24.67,24.7
"1979",24.72,24.74
"1980",24.92,24.79
"1981",24.75,24.84
"1982",24.86,24.88
"1983",25.08,24.92
"1984",24.85,24.95
"1985",24.75,24.97
"1986",24.91,24.98
"1987",25.35,24.99
"1988",25.07,24.99
"1989",24.77,24.99
"1990",25.12,25.01
"1991",25.05,25.03
"1992",24.91,25.05
"1993",25.02,25.09
"1994",25.14,25.12
"1995",25.27,25.16
"1996",25.05,25.2
"1997",25.28,25.24
"1998",25.68,25.27
"1999",25.15,25.31
"2000",25.09,25.35
"2001",25.36,25.39
"2002",25.63,25.42
"2003",25.43,25.45
"2004",25.35,25.47
"2005",25.61,25.48
"2006",25.42,25.47
"2007",25.54,25.45
"2008",25.24,25.44
"2009",25.44,25.43
"2010",25.68,25.44
"2011",25.36,25.47
"2012",25.56,25.54
"2013",25.5,25.62
"2014",25.67,25.7
"2015",25.97,25.77
"2016",25.84,25.82
"2017",25.77,25.84
"2018",25.59,25.83
"2019",25.94,25.8
"2020",25.93,25.75
"2021",25.58,25.7
