Crop year,Colombia
1990/91,14396
1991/92,17980.397
1992/93,14946.878
1993/94,11422.422
1994/95,12964
1995/96,12938.018
1996/97,10778.85
1997/98,12122.496
1998/99,10867.962
1999/00,9512.2459
2000/01,10519.352
2001/02,11950.283
2002/03,11712.04
2003/04,11052.624
2004/05,11428.856
2005/06,11952.2997
2006/07,12164.1926
2007/08,12515.0974
2008/09,8664.2903
2009/10,8097.5861
2010/11,8522.6594
2011/12,7653.3336
2012/13,9926.9445
2013/14,12124.0702
2014/15,13333.3435
2015/16,14008.7814
2016/17,14634.3893
2017/18,13824.0725
2018/19,13865.962
2019/20,14100.1182
