Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
1901,22.95,16.46,27.25,20.26,25.00,24.04,26.98,20.00,21.15,22.78,20.18,25.78
1902,22.88,16.46,27.20,19.83,24.38,24.19,26.79,20.14,21.25,22.19,20.20,25.89
1903,22.95,16.57,27.27,19.76,24.24,24.39,26.79,20.34,21.40,22.07,20.33,26.03
1904,22.71,16.36,27.11,19.76,24.33,24.08,26.66,20.05,20.91,22.15,19.98,25.74
1905,22.81,16.54,27.25,19.74,24.22,24.32,26.74,20.27,21.06,22.03,20.13,25.89
1906,22.83,16.52,27.28,19.94,24.50,24.25,26.77,20.20,20.96,22.31,20.10,25.84
1907,22.56,16.16,26.94,19.57,24.13,23.92,26.49,19.88,20.77,21.98,19.82,25.62
1908,22.92,16.57,27.26,19.80,24.32,24.33,26.80,20.27,21.30,22.13,20.27,25.97
1909,22.30,15.88,26.72,19.48,24.12,23.58,26.31,19.53,20.33,21.97,19.49,25.33
1910,22.93,16.72,27.49,19.88,24.25,24.63,26.58,20.59,21.02,22.19,20.23,26.06
1911,22.85,16.76,27.59,20.05,24.44,24.45,26.73,20.31,21.06,22.36,20.17,25.66
1912,22.23,16.24,27.02,19.51,23.94,23.74,26.27,19.60,20.58,21.89,19.55,24.85
1913,22.32,16.24,26.99,19.37,23.73,23.91,26.15,19.81,20.55,21.70,19.61,25.27
1914,22.66,16.34,27.12,19.80,24.38,24.05,26.63,20.01,20.76,22.22,19.87,25.68
1915,22.66,16.37,27.17,19.90,24.46,24.01,26.61,19.92,20.77,22.37,19.89,25.56
1916,22.37,16.24,26.96,19.28,23.60,23.99,26.04,19.92,20.54,21.59,19.66,25.51
1917,22.38,16.25,27.00,19.31,23.62,24.03,26.02,19.99,20.41,21.65,19.64,25.58
1918,22.46,16.29,27.03,19.46,23.86,24.04,26.19,19.98,20.53,21.82,19.70,25.60
1919,22.66,16.37,27.15,19.95,24.60,24.04,26.74,20.00,20.64,22.38,19.81,25.61
1920,22.34,16.18,26.91,19.13,23.43,24.03,26.01,19.99,20.51,21.41,19.61,25.60
1921,22.72,16.28,27.00,19.45,23.91,24.13,26.43,20.12,21.03,21.77,20.05,26.01
1922,22.87,16.33,26.99,19.48,23.98,24.27,26.54,20.31,21.06,21.79,20.17,26.38
1923,22.59,16.26,26.95,19.41,23.90,24.04,26.44,20.00,20.95,21.70,19.93,25.74
1924,23.18,16.40,27.10,19.79,24.38,24.36,26.78,20.46,21.23,22.17,20.45,26.79
1925,22.87,16.33,27.04,19.57,24.07,24.19,26.53,20.23,21.08,21.93,20.18,26.24
1926,22.84,16.34,27.07,19.68,24.22,24.12,26.63,20.11,21.17,22.06,20.15,26.01
1927,22.90,16.37,27.15,19.91,24.53,24.10,26.85,20.08,21.16,22.35,20.18,25.96
1928,23.24,16.47,27.27,20.27,24.99,24.26,27.09,20.32,21.29,22.81,20.44,26.46
1929,22.54,16.32,27.07,19.63,24.11,24.05,26.36,20.01,20.54,22.01,19.76,25.64
1930,22.35,16.26,27.03,19.49,23.90,23.88,26.23,19.77,20.57,21.86,19.64,25.21
1931,22.87,16.39,27.18,19.88,24.43,24.17,26.62,20.19,20.88,22.36,20.08,26.07
1932,22.59,16.29,27.05,19.60,24.10,24.07,26.43,20.04,20.69,21.98,19.81,25.73
1933,22.87,16.40,27.18,20.06,24.77,24.11,26.89,20.10,20.89,22.53,20.07,25.91
1934,22.69,16.33,27.07,19.68,24.22,24.08,26.55,20.04,20.85,22.06,19.96,25.81
1935,22.71,16.36,27.11,19.82,24.42,24.05,26.66,20.02,20.81,22.23,19.96,25.74
1936,22.78,16.39,27.18,20.08,24.76,24.05,26.76,20.00,20.77,22.55,19.99,25.70
1937,22.88,16.38,27.12,19.83,24.43,24.21,26.67,20.24,20.84,22.24,20.09,26.17
1938,22.71,16.36,27.10,19.79,24.39,24.06,26.67,20.01,20.85,22.20,19.97,25.74
1939,23.04,16.45,27.26,20.28,25.01,24.18,26.88,20.19,20.99,22.80,20.21,26.11
1940,23.12,16.44,27.27,20.32,25.06,24.23,26.91,20.24,21.13,22.85,20.29,26.24
1941,22.82,16.34,26.94,19.63,24.30,24.10,26.74,20.10,21.06,21.99,20.11,26.09
1942,22.71,16.25,26.72,19.44,24.11,24.01,26.64,20.02,21.05,21.70,20.05,26.01
1943,22.38,15.92,26.15,18.75,23.41,23.82,26.07,19.88,20.78,20.92,19.80,25.98
