,year,e_prod,e_export,e_consumption,e_temp_change,e_avg_temp
0,1990.0,2909.451,1074.101,,,23.04
1,1991.0,2924.664,841.329,1200.0,,23.13
2,1992.0,1825.171,734.461,1264.0,,22.79
3,1993.0,2967.004,1166.778,1331.0,0.244,22.82
4,1994.0,2762.73,1475.325,1402.0,0.599,22.91
5,1995.0,3165.322,1276.118,1476.0,0.815,23.11
6,1996.0,3407.442,1838.231,1555.0,0.775,23.14
7,1997.0,3056.864,1979.733,1637.0,0.713,23.13
8,1998.0,2927.725,1917.061,1724.0,0.806,23.38
9,1999.0,3784.051,1818.087,1816.0,0.314,22.82
10,2000.0,3115.149,1981.856,1912.0,0.572,23.15
11,2001.0,4044.24,1376.062,2014.0,0.732,23.28
12,2002.0,4093.902,2054.678,2121.0,1.094,23.72
13,2003.0,4393.717,2229.143,2234.0,1.109,23.46
14,2004.0,5212.951,2490.944,2353.0,0.874,23.4
15,2005.0,4779.486,2435.069,2478.0,1.119,23.5
16,2006.0,5550.74,2935.56,2609.0,0.971,23.42
17,2007.0,5966.6796,2604.008,2748.0,0.847,23.32
18,2008.0,4948.9869,2851.92097,2894.0,0.756,23.25
19,2009.0,6830.199,1851.4974532,3048.0,1.336,23.95
20,2010.0,5560.3848,3324.1025511,3109.0,1.259,23.67
21,2011.0,5650.4099,2675.4190125,3171.0,1.137,23.57
22,2012.0,6132.0066,3202.5924066,3235.0,1.059,23.38
23,2013.0,6242.4439,2870.0752483,3299.0,1.208,23.73
24,2014.0,6383.2618,3116.69037,3365.0,1.149,23.5
25,2015.0,6514.9754,2984.9748167,3433.0,1.395,23.94
26,2016.0,7142.9796,3000.72445,3501.0,1.494,23.92
27,2017.0,7346.7332,3773.4063333,3571.0,1.464,23.65
28,2018.0,7511.2234,3589.04802,3643.0,0.944,23.27
29,2019.0,7343.4329,3921.2497734,3685.0,1.362,23.41
30,2020.0,,,,1.358,23.38
31,,,,3781.0,,
32,1901.0,,,,,22.95
33,1902.0,,,,,22.88
34,1903.0,,,,,22.95
35,1904.0,,,,,22.71
36,1905.0,,,,,22.81
37,1906.0,,,,,22.83
38,1907.0,,,,,22.56
39,1908.0,,,,,22.92
40,1909.0,,,,,22.3
41,1910.0,,,,,22.93
42,1911.0,,,,,22.85
43,1912.0,,,,,22.23
44,1913.0,,,,,22.32
45,1914.0,,,,,22.66
46,1915.0,,,,,22.66
47,1916.0,,,,,22.37
48,1917.0,,,,,22.38
49,1918.0,,,,,22.46
50,1919.0,,,,,22.66
51,1920.0,,,,,22.34
52,1921.0,,,,,22.72
53,1922.0,,,,,22.87
54,1923.0,,,,,22.59
55,1924.0,,,,,23.18
56,1925.0,,,,,22.87
57,1926.0,,,,,22.84
58,1927.0,,,,,22.9
59,1928.0,,,,,23.24
60,1929.0,,,,,22.54
61,1930.0,,,,,22.35
62,1931.0,,,,,22.87
63,1932.0,,,,,22.59
64,1933.0,,,,,22.87
65,1934.0,,,,,22.69
66,1935.0,,,,,22.71
67,1936.0,,,,,22.78
68,1937.0,,,,,22.88
69,1938.0,,,,,22.71
70,1939.0,,,,,23.04
71,1940.0,,,,,23.12
72,1941.0,,,,,22.82
73,1942.0,,,,,22.71
74,1943.0,,,,,22.38
75,1944.0,,,,,22.65
76,1945.0,,,,,22.48
77,1946.0,,,,,22.68
78,1947.0,,,,,22.8
79,1948.0,,,,,22.37
80,1949.0,,,,,22.23
81,1950.0,,,,,22.24
82,1951.0,,,,,22.77
83,1952.0,,,,,22.95
84,1953.0,,,,,23.15
85,1954.0,,,,,23.11
86,1955.0,,,,,23.16
87,1956.0,,,,,22.43
88,1957.0,,,,,22.49
89,1958.0,,,,,22.85
90,1959.0,,,,,22.71
91,1960.0,,,,,22.59
92,1961.0,,,,,22.3
93,1962.0,,,,,22.36
94,1963.0,,,,,22.56
95,1964.0,,,,,22.15
96,1965.0,,,,,22.54
97,1966.0,,,,,22.65
98,1967.0,,,,,22.14
99,1968.0,,,,,22.17
100,1969.0,,,,,22.89
101,1970.0,,,,,22.81
102,1971.0,,,,,22.3
103,1972.0,,,,,22.75
104,1973.0,,,,,23.12
105,1974.0,,,,,22.49
106,1975.0,,,,,22.61
107,1976.0,,,,,22.92
108,1977.0,,,,,22.91
109,1978.0,,,,,22.94
110,1979.0,,,,,23.07
111,1980.0,,,,,23.37
112,1981.0,,,,,22.72
113,1982.0,,,,,22.86
114,1983.0,,,,,23.08
115,1984.0,,,,,22.9
116,1985.0,,,,,22.76
117,1986.0,,,,,22.95
118,1987.0,,,,,23.15
119,1988.0,,,,,22.97
120,1989.0,,,,,22.45
121,2021.0,,,,,23.35
