,Year,Temp Change,ind_prod_lbs
0,1990,0.12,16371042.600000001
1,1991,0.203,18685031.200000003
2,1992,0.264,12252851.600000001
3,1993,0.206,14835233.600000001
4,1994,0.267,11809331.600000001
5,1995,0.344,10061543.8
6,1996,0.387,18085284.800000004
7,1997,0.397,16765711.600000001
8,1998,0.997,16051101.000000002
9,1999,0.265,14425545.640000002
10,2000,0.271,15371927.340000002
11,2001,0.515,15033383.200000001
12,2002,0.608,14809027.200000001
13,2003,0.567,14088967.200000001
14,2004,0.524,16580016.200000001
15,2005,0.702,20149710.680000003
16,2006,0.416,16461882.140000002
17,2007,0.485,17108422.540000003
18,2008,0.278,21147162.520000003
19,2009,0.586,25035273.78
20,2010,0.797,20082725.960000005
21,2011,0.349,15155631.260000004
22,2012,0.443,28754084.92
23,2013,0.782,28382088.460000005
24,2014,0.768,24081810.06
25,2015,0.789,27688045.220000003
26,2016,1.455,25390258.52
27,2017,0.968,23875093.660000004
28,2018,0.881,21158707.24
29,2019,1.056,25152473.500000004
30,2020,1.259,23195997.055000003
