,Indonesia,Crop year
1,7441.383,1990/91
2,8493.196,1991/92
3,5569.478,1992/93
4,6743.288,1993/94
5,5367.878,1994/95
6,4573.429,1995/96
7,8220.584,1996/97
8,7620.778,1997/98
9,7295.955,1998/99
10,6557.0662,1999/00
11,6987.2397,2000/01
12,6833.356,2001/02
13,6731.376,2002/03
14,6404.076,2003/04
15,7536.371,2004/05
16,9158.9594,2005/06
17,7482.6737,2006/07
18,7776.5557,2007/08
19,9612.3466,2008/09
20,11379.6699,2009/10
21,9128.5118,2010/11
22,6888.9233,2011/12
23,13070.0386,2012/13
24,12900.9493,2013/14
25,10946.2773,2014/15
26,12585.4751,2015/16
27,11541.0266,2016/17
28,10852.3153,2017/18
29,9617.5942,2018/19
30,11432.9425,2019/20
