Country,Type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,(A/R),1637137.716,1637609.604,2076201.252,1690018.716,1691522.82,1083612.132,1751804.58,1568880.24,2205651.198,2854668.39,1878621.18,1881905.73,2901098.04,1732404.558,2356868.742,1975978.782,2905904.028,2334687.426,3089431.062,2638608.72,3325704.612,2915509.734,3325080.072,3281337.984,3198286.014,3172235.256,3407290.704,3164389.074,3907847.982,3492642.762
Viet Nam,(R/A),78617.28,86270.88,140426.82,181212.96,217896.54,238205.16,345148.86,418736.52,423103.32,697854.828,890478.54,785594.64,694436.1,920241.12,862227.18,830510.178,1160385.006,984305.928,1106287.206,1069520.718,1199999.994,1589976.666,1404126.342,1656586.884,1634431.314,1865402.514,1669150.572,2005949.94,1816984.488,1829229.864
Colombia,(A),863760,1078823.82,896812.68,685345.32,777840,776281.08,646731,727349.76,652077.72,570734.754,631161.12,717016.98,702722.4,663157.44,685731.36,717137.982,729851.556,750905.844,519857.418,485855.166,511359.564,459200.016,595616.67,727444.212,800000.61,840526.884,878063.358,829444.35,831957.72,846007.092
Indonesia,(R/A),446482.98,509591.76,334168.68,404597.28,322072.68,274405.74,493235.04,457246.68,437757.3,393423.972,419234.382,410001.36,403882.56,384244.56,452182.26,549537.564,448960.422,466593.342,576740.796,682780.194,547710.708,413335.398,784202.316,774056.958,656776.638,755128.506,692461.596,651138.918,577055.652,685976.55
Ethiopia,(A),174567.06,175479.84,109510.26,178020.24,165763.8,189919.32,204446.52,183411.84,175663.5,227043.06,186908.94,242654.4,245634.12,263623.02,312777.06,286769.16,333044.4,358000.776,296939.214,409811.94,333623.088,339024.594,367920.396,374546.634,382995.708,390898.524,428578.776,440803.992,450673.404,440605.974
Honduras,(A),94077.48,139308.48,115092.54,109750.74,130843.8,114554.28,120263.28,153864.3,131708.7,179100.3,159999.48,182175.12,149753.16,178071.9,154508.64,192261.66,207676.896,218387.574,206999.232,216175.014,259841.124,352928.124,281159.748,274981.476,316092.966,347146.56,447413.856,453586.08,429172.818,355873.2
Uganda,(R/A),117300.54,125280.06,131104.44,188502.36,143565.18,194615.04,205123.44,206392.08,203150.34,171746.82,204040.98,189466.62,173403.48,155911.92,156757.14,130512.06,173649.6,209378.88,200110.02,173632.56,196033.92,186903.78,234810.12,217972.02,224668.62,218974.02,297729.48,275808.78,282237.84,330549.24
India,(R/A),169721.22,179984.94,169409.82,211990.86,180093.84,240721.56,205027.26,246525.36,265006.08,291995.352,301185.996,288624.78,275273.34,282496.32,275460.612,273977.388,270004.404,261999.564,244299.96,289599.126,335998.404,320012.484,324206.448,304519.872,326992.02,349820.286,369656.616,348793.428,319523.52,299257.584
Mexico,(A/R),280454.7,283632.36,204048.66,301409.28,249526.62,317993.28,306573.06,288093.66,288080.88,373120.59,288898.734,266304.24,261085.56,252061.158,232040.844,253479.822,252020.286,249019.098,279038.952,246517.458,240085.914,273663.468,259616.532,234988.596,218184.042,166322.358,218117.694,269074.884,261042.072,239076.066
Peru,(A),56197.92,72028.44,105717.18,39929.82,70717.68,112256.34,108351.66,115797.54,126137.88,164611.98,160535.58,169736.76,180019.2,161159.16,205509.354,149330.094,259143.516,183775.842,232335.72,197165.202,244129.38,322351.776,267002.868,246374.298,172993.74,198213.252,253372.704,256744.992,255800.346,230182.902
Guatemala,(A/R),196231.74,209791.86,259108.98,212130.06,227240.16,240096.24,271473.36,253162.38,293577.84,307207.728,296385.18,220137.6,244197.18,216595.86,222181.56,220531.788,237019.818,245980.608,227097.948,230087.208,236996.01,231023.256,225775.986,191362.284,198604.554,204586.86,221052.54,224023.566,240404.058,216345.864
Nicaragua,(A),27664.68,42424.02,32837.64,42367.8,40978.14,59080.56,47598.3,65011.38,64384.8,93243.288,94345.956,64725.12,70201.02,90545.88,64084.62,85908.69,85675.572,114340.284,86684.052,112267.236,98269.296,131605.26,112408.494,123591.768,113860.968,127825.326,153317.886,158537.124,172746.024,172939.194
Côte d'Ivoire,(R),176421.78,247757.7,134732.16,137604.42,180386.64,151911.84,291515.52,249840.24,119492.82,379226.328,290735.16,215766.96,180578.4,178875.12,128135.988,125942.682,170876.424,80288.67,151579.578,119321.964,50203.44,132980.514,119630.202,155866.038,103682.598,77345.07,67044.27,97430.922,130519.398,115751.832
Costa Rica,(A),153713.1,165577.14,179878.44,141525.18,148916.52,170615.76,133314.9,156996,146707.2,149119.8,145112.16,134802,122604.78,113185.92,112550.394,99151.728,102364.386,107828.238,89995.08,88604.856,96821.976,109853.73,109361.436,93124.566,88503.672,86410.344,82313.778,93640.818,85599.408,88305.792
Tanzania,(A/R),55906.74,47398.62,47186.04,44062.5,40741.44,53827.26,45836.4,37426.8,44358.72,50533.086,48532.284,37445.34,49416.54,36704.04,45790.92,48264.396,49308.42,48587.748,71176.938,40496.058,50754.462,38462.346,69067.29,48656.112,45160.11,55810.32,50765.514,47004.204,70491.558,55583.55
Kenya,(A),89108.1,90842.82,78932.88,79686.72,99787.86,99854.04,74805.18,52917.9,70372.92,90113.46,60111.846,59431.86,56724.12,40405.32,44134.98,39608.1,49564.8,39126.3,32464.5,37784.4,38452.416,45438.918,52526.73,50577.006,46185.774,47950.026,47566.05,47371.008,55825.176,50622.474
Papua New Guinea,(A/R),57770.46,44808.96,54006.66,61168.86,68319.54,60141.78,65360.88,64441.26,81128.94,83223.114,62444.352,63755.58,65108.82,69296.64,59850.84,76087.968,48433.212,58062.678,61659.174,62279.652,51991.104,84831.27,42989.28,50121.564,47853.852,42718.908,70268.694,44036.292,55822.14,45103.26
El Salvador,(A),147891.84,131861.52,180078.06,142708.92,137608.08,155110.74,152014.08,130488.54,123277.68,155888.694,102266.988,101637.96,81682.56,82805.82,71812.38,79115.22,74019.66,90299.466,87013.584,64477.782,112396.14,69825.882,74375.112,30899.976,39899.97,33900,36599.976,45576.744,45655.368,39641.496
Venezuela,(A),67348.62,56442.24,72917.88,79972.86,59339.76,87993.24,72369.72,57077.1,95836.74,82010.1,86995.44,75876.78,89015.376,85231.482,79592.016,90378.054,94253.766,91227.03,55945.314,72822.366,72128.028,54124.302,57145.206,48226.128,39023.898,30007.554,31500,34290.768,34703.34,39006.276
Lao People's Democratic Republic,(R),0,0,0,0,0,0,0,0,10285.44,14326.32,12731.1,15488.712,24120.258,21687.75,22766.502,16778.76,23465.916,23587.38,24336.624,26032.134,32661.696,30840.006,32430.138,32665.032,33149.544,32109.522,30619.548,32002.182,38806.98,37310.676
Ecuador,(A/R),90228.9,127429.44,71128.8,124140.42,142545.96,113293.98,119574.84,71439.78,72358.08,71860.992,51229.02,47570.82,34933.44,38447.4,46826.1,56118.042,62071.194,57024.168,46238.838,48797.094,51238.788,49524.864,49686.144,39932.7,38640.672,38669.556,38693.07,37414.464,29760.006,33536.112
Thailand,(R/A),45421.02,88136.16,75296.7,76512.06,83948.1,79033.56,84214.86,77584.56,54959.16,76370.268,101534.052,42870,43914,49594.02,53062.98,63837.906,49348.134,39025.248,40473.756,47687.79,49690.404,49876.53,36485.676,38280.228,50693.226,45718.848,32252.61,38293.95,28920.414,30994.698
