year,B_hectares_harvested,B_hectograms_per_hectare_yield,B_tonnes_produced,usa_retail_price,Thousand Units (Bags of 60 kg),B_thousand_USD_grn_coffee_prod,B_annual_avg_temp,col_annual_crop_yield,col_prod_60kg_bags,col_annual_celsius_change,global_change_in_celsius,e_prod,e_temp_change,e_export,e_consumption
1990,2908960.0,5036.0,1464856.0,2.97,18297.617,1573782.69216,25.12,,14396.0,0.258,0.66,2909.451,,1074.101,1200.0
1990,2908960.0,5036.0,1464856.0,2.97,18297.617,1573782.69216,25.12,,14396.0,0.258,0.66,2909.451,,1074.101,
1991,2763440.0,5502.0,1520382.0,2.81,18661.18,1633437.60552,25.05,863760.0,17980.397,0.347,0.53,2924.664,,841.329,1264.0
1991,2763440.0,5502.0,1520382.0,2.81,18661.18,1633437.60552,25.05,863760.0,17980.397,0.347,0.53,2924.664,,841.329,
1992,2500320.0,5177.0,1294373.0,2.58,18290.453,1390622.57628,24.91,1078823.82,14946.878,0.532,0.25,1825.171,,734.461,1331.0
1992,2500320.0,5177.0,1294373.0,2.58,18290.453,1390622.57628,24.91,1078823.82,14946.878,0.532,0.25,1825.171,,734.461,
1993,2259330.0,5660.0,1278759.0,2.47,19217.137,1373847.51924,25.02,896812.68,11422.422,0.157,0.36,2967.004,,1166.778,1402.0
1993,2259330.0,5660.0,1278759.0,2.47,19217.137,1373847.51924,25.02,896812.68,11422.422,0.157,0.36,2967.004,,1166.778,
1993,2259330.0,5660.0,1278759.0,2.47,19217.137,1373847.51924,25.02,896812.68,11422.422,0.157,0.36,,0.244,,
1994,2097650.0,6232.0,1307289.0,3.4,17326.104,1404499.01004,25.14,685345.32,12964.0,0.162,0.49,2762.73,,1475.325,1476.0
1994,2097650.0,6232.0,1307289.0,3.4,17326.104,1404499.01004,25.14,685345.32,12964.0,0.162,0.49,2762.73,,1475.325,
1994,2097650.0,6232.0,1307289.0,3.4,17326.104,1404499.01004,25.14,685345.32,12964.0,0.162,0.49,,0.599,,
1995,1869980.0,4974.0,930135.0,4.04,17362.871,999299.8386,25.27,777840.0,12938.018,0.431,0.78,3165.322,,1276.118,1555.0
1995,1869980.0,4974.0,930135.0,4.04,17362.871,999299.8386,25.27,777840.0,12938.018,0.431,0.78,3165.322,,1276.118,
